interaction_sequence,epoch,pair_index,token_id,symbol,donor_tape,receiver_tape,pool_residence_interactions,opcode,template_source_tape,pool_multiplier,seed
670625,5240,33,77459,60,201,189,96,44,192,16.0,0
671313,5245,81,77459,60,189,21,1,46,95,16.0,0
671672,5248,56,77459,60,21,23,10,44,23,16.0,0
680068,5314,4,77459,60,23,7,62,44,227,16.0,0
683366,5339,102,77459,60,7,6,1,44,41,16.0,0
684508,5348,92,77459,60,6,227,28,44,227,16.0,0
98543,770,111,78353,60,143,226,5,44,28,16.0,0
106006,829,22,78353,60,226,168,15,46,103,16.0,0
109574,857,6,78353,60,168,166,3568,44,132,16.0,0
110855,867,7,78353,60,166,89,37,46,143,16.0,0
175501,1372,13,78353,60,89,124,173,46,15,16.0,0
179293,1401,93,78353,60,124,41,13,44,235,16.0,0
179419,1402,91,78353,60,41,241,26,46,5,16.0,0
180718,1412,110,78353,60,241,210,1,44,48,16.0,0
182261,1424,117,78353,60,210,160,7,46,0,16.0,0
184061,1438,125,78353,60,160,55,15,44,156,16.0,0
187245,1463,109,78353,60,55,180,56,44,180,16.0,0
189962,1485,10,78353,60,180,13,219,44,22,16.0,0
190265,1487,57,78353,60,13,136,77,44,3,16.0,0
190280,1487,72,78353,60,136,80,15,46,234,16.0,0
234362,1831,122,78353,60,80,8,3,44,64,16.0,0
236372,1847,84,78353,60,8,118,247,44,118,16.0,0
240511,1879,127,78353,60,118,169,41,46,5,16.0,0
247933,1937,125,78353,60,169,22,39,44,207,16.0,0
261489,2043,113,78353,60,22,37,12,44,92,16.0,0
264820,2069,116,78353,60,37,203,6,44,203,16.0,0
267803,2093,27,78353,60,203,110,13,46,193,16.0,0
269618,2107,50,78353,60,110,21,45,46,227,16.0,0
270122,2111,42,78353,60,21,171,62,44,96,16.0,0
271086,2118,110,78353,60,171,234,0,46,171,16.0,0
272782,2132,14,78353,60,234,66,31,44,232,16.0,0
279510,2184,86,78353,60,66,213,48,46,213,16.0,0
283250,2213,114,78353,60,213,20,33,46,20,16.0,0
285581,2232,13,78353,60,20,118,84,44,91,16.0,0
286647,2240,55,78353,60,118,225,13,46,34,16.0,0
310416,2426,16,78353,60,225,168,43,44,64,16.0,0
311018,2430,106,78353,60,168,233,179,44,174,16.0,0
320430,2504,46,78353,60,233,59,6,45,59,16.0,0
320435,2504,51,78353,60,59,103,5,44,103,16.0,0
323116,2525,44,78353,60,103,195,23,44,194,16.0,0
331809,2593,33,78353,60,195,243,23,46,243,16.0,0
332714,2600,42,78353,60,243,84,905,46,84,16.0,0
332866,2601,66,78353,60,84,98,13,46,98,16.0,0
333314,2605,2,78353,60,98,243,70,46,243,16.0,0
333486,2606,46,78353,60,243,188,172,46,236,16.0,0
335553,2622,65,78353,60,188,154,2,44,154,16.0,0
281931,2203,75,78064,60,191,20,135,44,97,16.0,2
295931,2312,123,78064,60,20,227,18,46,183,16.0,2
296272,2315,80,78064,60,227,162,185,43,162,16.0,2
297866,2328,10,78064,60,162,184,15,44,104,16.0,2
298467,2332,99,78064,60,184,142,3,45,142,16.0,2
300543,2348,127,78064,60,142,224,11,44,7,16.0,2
300544,2349,0,78064,60,224,254,1,44,136,16.0,2
302227,2362,19,78064,60,254,158,4,44,23,16.0,2
304456,2379,72,78064,60,158,130,4,44,107,16.0,2
306493,2395,61,78064,60,130,45,1818,44,130,16.0,2
437037,3415,45,78064,60,45,120,31,44,120,16.0,2
438219,3424,75,78064,60,120,0,1080,44,0,16.0,2
438640,3427,112,78064,60,0,105,2,44,66,16.0,2
504882,3945,50,78064,60,105,186,5,44,3,16.0,2
505367,3949,23,78064,60,186,61,139,44,184,16.0,2
506875,3960,123,78064,60,61,122,4,45,122,16.0,2
509432,3980,120,78064,60,122,141,2,44,213,16.0,2
509728,3983,32,78064,60,141,22,9,44,32,16.0,2
513513,4012,105,78064,60,22,37,411,44,37,16.0,2
513965,4016,45,78064,60,37,22,7,44,22,16.0,2
514144,4017,96,78064,60,22,7,6,46,89,16.0,2
514641,4021,81,78064,60,7,181,5,46,114,16.0,2
515788,4030,76,78064,60,181,107,77,44,48,16.0,2
517199,4041,79,78064,60,107,200,51,44,170,16.0,2
520863,4070,31,78064,60,200,131,0,46,200,16.0,2
521699,4076,99,78064,60,131,89,3,44,74,16.0,2
521861,4078,5,78064,60,89,76,8,44,47,16.0,2
521862,4078,6,78064,60,76,163,1,44,172,16.0,2
523475,4090,83,78064,60,163,37,174,46,242,16.0,2
523810,4093,34,78064,60,37,141,3,44,18,16.0,2
524201,4096,41,78064,60,141,18,111,44,2,16.0,2
530776,4147,88,78064,60,18,111,19,46,200,16.0,2
532342,4159,118,78064,60,111,40,599,44,40,16.0,2
535942,4188,6,78064,60,40,174,13,44,175,16.0,2
535947,4188,11,78064,60,174,244,5,44,116,16.0,2
