seed,run_dir,tick,total_count,ancestry_count,ancestry_fraction,family_species_count
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,4700,1600,1450,0.90625,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,4800,1600,1501,0.938125,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,4900,1600,1528,0.955,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,5000,1600,1551,0.969375,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,5100,1595,1568,0.9830721003134796,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,5200,1573,1559,0.9910998092816274,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,5300,1518,1507,0.9927536231884058,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,5400,1466,1459,0.995225102319236,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,5500,1391,1387,0.9971243709561467,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,5600,1341,1338,0.9977628635346756,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,5700,1282,1279,0.9976599063962559,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,5800,1209,1207,0.9983457402812241,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,5900,1166,1164,0.9982847341337907,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,6000,1108,1106,0.9981949458483754,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,6100,1052,1050,0.9980988593155894,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,6200,985,983,0.9979695431472081,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,6300,947,945,0.9978880675818373,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,6400,905,903,0.9977900552486187,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,6500,855,853,0.9976608187134502,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,6600,815,813,0.9975460122699387,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,6700,772,771,0.9987046632124352,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,6800,727,726,0.9986244841815681,430
202608324,experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,6900,695,694,0.9985611510791367,430
