run_dir,population_size,epochs,pool_multiplier,seed,wall_time_s,overall_blocked_fraction,first_100_blocked_fraction,last_100_blocked_fraction,peak_epoch_blocked_fraction,zero_block_epoch_fraction,blocked_fraction_cv,blocked_fraction_lag1,spectral_peak_power_fraction,spectral_peak_period_epochs,top_blocked_symbol,top_blocked_symbol_ascii,top_blocked_symbol_fraction,blocked_symbol_effective_count,instruction_blocked_fraction,initial_pool_entropy,final_pool_entropy,pool_entropy_change,final_pool_jsd,maximum_zero_pool_symbols,maximum_high_order_entropy,final_high_order_entropy,entropy_transition,maximum_dominant_tape_fraction,final_distinct_tapes,active_instruction_fraction_change,cross_tape_copy_success,cross_a_to_b_fraction,recycled_withdrawal_lower_bound,max_conservation_residual
experiments/phase1_runs/mechanism/p1_m256_n256_s0,256,20000,256.0,0,5.752968749962747,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,7.98834720196791,7.988263476360655,-8.372560725522504e-05,8.22470494204317e-06,0,0.5614626773756575,-0.0416973650033698,False,0.00390625,256,0.1302490234375,1261369,0.6947031360371152,0.1984695682427675,0
experiments/phase1_runs/mechanism/p1_m256_n256_s1,256,20000,256.0,1,4.135709249880165,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,7.989435356522014,7.989282851807756,-0.00015250471425787282,5.141488897263992e-06,0,0.3357696632293043,0.0647497029963979,False,0.0078125,256,0.08856201171875,1693405,0.7459579958722219,0.2576833250785246,0
experiments/phase1_runs/mechanism/p1_m256_n256_s2,256,20000,256.0,2,6.473937125178054,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,7.989249014492458,7.988941461065893,-0.00030755342656529905,8.096473482611434e-06,0,0.4658321063447026,-0.0042686997187733,False,0.0078125,256,0.1048583984375,3615745,0.7470678933387171,0.5275929449028716,0
experiments/phase1_runs/mechanism/p1_m256_n256_s3,256,20000,256.0,3,4.16059266589582,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,7.988155971651508,7.988125417012445,-3.0554639062430056e-05,3.623704208562844e-06,0,0.6263666235650884,-0.0127269136561247,False,0.0078125,256,0.0843505859375,1536850,0.70936851351791,0.2815828647018905,0
experiments/phase1_runs/mechanism/p1_m256_n256_s4,256,20000,256.0,4,4.374684999929741,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,7.989082342903744,7.988859378808737,-0.0002229640950073275,7.001365469164314e-06,0,0.3909241559588121,0.0440546414939415,False,0.0078125,256,0.11138916015625,1554369,0.683061100678153,0.3199630369037971,0
experiments/phase1_runs/scale/p1_m0p5_n4096_s0,4096,20000,0.5,0,37.151118374895304,0.05409714778820353,0.0,0.0499943311831471,0.6290355329949239,0.0507,1.8713202303825274,0.4920820488463941,0.06933059822560908,6666.666666666667,60.0,<,0.3126315522251987,13.16945163388065,0.7080416892736638,7.999081860386593,7.860359990851303,-0.1387218695352903,0.039906142922948,4,0.3985948566547366,0.1556912709669813,False,0.0009765625,4096,0.009723663330078097,6600524,0.5572219720737324,0.9955599863737548,0
experiments/phase1_runs/scale/p1_m0p5_n4096_s1,4096,20000,0.5,1,37.57889191620052,0.08542508864382767,0.0,0.06466736732901443,0.6832867969684883,0.03365,1.494619862579129,0.20863414736548658,0.0460004066924561,10000.0,60.0,<,0.32016909710373453,12.354313090615257,0.7297628795631013,7.999080584085886,7.835752623498786,-0.16332796058709942,0.0479428977416507,5,0.436741459097596,0.2879786780704627,False,0.0009765625,4096,0.010673522949218701,7285312,0.5574487406990943,0.9960113257509408,0
experiments/phase1_runs/scale/p1_m0p5_n4096_s2,4096,20000,0.5,2,36.82663262495771,0.051881679493983826,0.0,0.03897554871670225,0.6692034939029664,0.04795,1.5488290870137165,0.2688085988971794,0.03659628798942577,2857.1428571428573,60.0,<,0.4225862922012556,9.709367898976591,0.7438371901355789,7.999299590950256,7.86882334333376,-0.13047624761649512,0.0385597349568091,4,0.3820513086128922,0.2139206098510815,False,0.0009765625,4096,0.011310577392578097,7019662,0.5543909379112556,0.996081369870344,0
experiments/phase1_runs/scale/p1_m2_n4096_s0,4096,20000,2.0,0,44.94813675014302,0.015384423128106279,0.0,0.016468485774291674,0.40861096873398256,0.10485,2.3660989903383407,0.1291371852965426,0.01128917295684592,5000.0,60.0,<,0.7214203030129394,2.7202116016089,0.9311907498250569,7.999261328217488,7.950652990925623,-0.04860833729186442,0.0143454755836577,2,0.4730885282572448,0.3444026884922895,False,0.001220703125,4095,0.034679412841796806,11676263,0.6348182633433317,0.988746803025138,0
experiments/phase1_runs/scale/p1_m2_n4096_s1,4096,20000,2.0,1,44.852422333089635,0.014425657288157461,0.0,0.01510775362616485,0.4766603100903739,0.1185,2.323049201984437,0.1565571868785663,0.018902193644755587,20000.0,60.0,<,0.7258091944353369,2.66780425459769,0.9276184120599907,7.999237015678744,7.948216092102946,-0.05102092357579746,0.0158056466122494,3,0.435328295287344,0.2617913064952226,False,0.0009765625,4096,0.039867401123046806,13026755,0.6183936060822515,0.9887601484697672,0
experiments/phase1_runs/scale/p1_m2_n4096_s2,4096,20000,2.0,2,43.52296375017613,0.017391294767973634,0.0,0.02238784607821714,0.45125652543401723,0.1287,2.6933033499518766,0.13827023737174235,0.01738144778546251,6666.666666666667,60.0,<,0.7393232068439477,2.4968776257431085,0.9283152968005708,7.999378223188101,7.959971898378765,-0.03940632480933637,0.0123858950133355,2,0.3666513604974186,0.1753020215465675,False,0.000732421875,4096,0.040355682373046896,12636650,0.5999780796334472,0.9899528416641412,0
experiments/phase1_runs/scale/p1_m16_n4096_s0,4096,20000,16.0,0,56.652615959057584,0.0003281928365667782,0.0,0.0,0.22393704006541293,0.9474,13.025617991689007,0.06386443536597847,0.004583496550258667,20000.0,60.0,<,1.0,1.0,1.0,7.999274430968862,7.991603747080281,-0.007670683888581387,0.0021518261392051,1,0.3662039461203354,0.1327964260581806,False,0.00048828125,4096,0.1001205444335937,43164502,0.7424152605768508,0.9591133137414452,0
experiments/phase1_runs/scale/p1_m16_n4096_s1,4096,20000,16.0,1,60.47971170814708,0.00018939403881533133,0.0,0.0,0.20721975934135528,0.9662,15.844871685940344,0.1313639006804713,0.0026122187550422613,6666.666666666667,60.0,<,1.0,1.0,1.0,7.999253614052657,7.993764165623816,-0.00548944842884147,0.0015195726759244,0,0.3378983365143719,0.1155037045764197,False,0.00048828125,4096,0.1017608642578125,48334034,0.7440868684786376,0.9628466962946776,0
experiments/phase1_runs/scale/p1_m16_n4096_s2,4096,20000,16.0,2,57.57161987503059,0.00014417419570777763,0.0,0.0,0.123904040592471,0.97375,16.307776866635283,0.07085423605538103,0.004511955842535364,6666.666666666667,60.0,<,1.0,1.0,1.0,7.9993838295928175,7.994642776574746,-0.004741053018071817,0.0013566873216598,0,0.3362839441776657,0.1648864205411024,False,0.00048828125,4096,0.0959663391113281,47160189,0.7538834502974532,0.9669538070792312,0
