run_dir,seed,radius,distance,mean_js_similarity
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,10,0.9363713611455825
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,11,0.9365933864814008
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,12,0.9365100758352033
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,13,0.9368007850095867
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,14,0.9364918860596488
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,15,0.9361707122949138
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,8,16,0.9365890928957781
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,1,0.916876385357863
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,2,0.9161087245460904
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,3,0.9167696927619043
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,4,0.9173283692416843
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,5,0.916733640505275
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,6,0.917028545060524
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,7,0.9164984495594937
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,8,0.9170865049509924
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,9,0.9160154299164629
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,10,0.9167955021702356
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,11,0.916606743919448
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,12,0.9166140664205764
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,13,0.9166223774114914
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,14,0.9166801453415356
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,15,0.9159212902171155
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,8,16,0.9164730363484219
sweeps/phase2_functional_distance/runs/20260906T063252.782306Z_da12dadccade_202609084,202609084,8,1,0.9290836145873085
sweeps/phase2_functional_distance/runs/20260906T063252.782306Z_da12dadccade_202609084,202609084,8,2,0.9287170959365025
sweeps/phase2_functional_distance/runs/20260906T063252.782306Z_da12dadccade_202609084,202609084,8,3,0.9286048395139063
sweeps/phase2_functional_distance/runs/20260906T063252.782306Z_da12dadccade_202609084,202609084,8,4,0.9286239579537384
sweeps/phase2_functional_distance/runs/20260906T063252.782306Z_da12dadccade_202609084,202609084,8,5,0.9287704893757703
sweeps/phase2_functional_distance/runs/20260906T063252.782306Z_da12dadccade_202609084,202609084,8,6,0.92841872608857
sweeps/phase2_functional_distance/runs/20260906T063252.782306Z_da12dadccade_202609084,202609084,8,7,0.9283965661363536
sweeps/phase2_functional_distance/runs/20260906T063252.782306Z_da12dadccade_202609084,202609084,8,8,0.9280039091033813
sweeps/phase2_functional_distance/runs/20260906T063252.782306Z_da12dadccade_202609084,202609084,8,9,0.928188573167397
